epoch,train_loss_total,train_loss_lesion,train_loss_lesion_dense,train_loss_lesion_sparse,train_loss_lesion_sys,em_w_lesion_dense,em_w_lesion_sparse,em_w_lesion_sys,active_lesion_dense,active_lesion_sparse,active_lesion_sys,val_loss_total,val_loss_lesion,val_loss_lesion_dense,val_loss_lesion_sparse,val_loss_lesion_sys,val_lesion_dice,val_lesion_f1,val_lesion_sens,val_lesion_spec,val_patient_bacc,val_patient_sens,val_patient_spec,val_patient_auc,val_patient_auprc,val_patient_n,val_region_bacc,val_region_sens,val_region_spec,val_region_auc,val_region_auprc,val_region_n,best_model_metric_name,use_em_weighting,use_logvar_clamp,use_curriculum,em_lr_multiplier,lesion_dense_enabled_this_epoch,lesion_sparse_enabled_this_epoch,lesion_sys_enabled_this_epoch
1,1.0355165632895782,1.722964244048924,0.8063673337019795,0.9165969155070639,0.0,1.0,0.25,0.0,0.7385159010600707,0.9858657243816255,0.0,0.4751480515632365,0.9565359180172285,0.3146854283081161,0.6418504905369546,0.0,0.011850887351545573,0.014780831446946217,0.007727047305723516,0.9999294020480118,0.5658730158241938,0.255555555541358,0.8761904761070295,0.5794708994708995,0.7097240318926336,285,0.49999999999758804,0.0,0.9999999999951761,0.5122878568609394,0.058785370816308746,2183,composite,0,0,0,10.0,1,1,0
2,1.0085061234372665,1.669213094370104,0.7882704648449227,0.8809426267871587,0.0,1.0,0.25,0.0,0.7879858657243817,0.9893992932862191,0.0,0.4596221074461937,0.9490636264284452,0.2964749336242676,0.6525886928041776,0.0,0.17982614700767127,0.21644640792644518,0.29410482163372104,0.9858163639263826,0.5523809523468632,0.9333333332814815,0.1714285714122449,0.728941798941799,0.8340762770992813,285,0.5259176424090217,0.09090909090082645,0.960926193917217,0.5122264614305135,0.0632053805405771,2183,composite,0,0,0,10.0,1,1,0
3,0.9483851259673021,1.6105639521730242,0.7276588547777372,0.8829050945519559,0.0,1.0,0.25,0.0,0.7667844522968198,0.9893992932862191,0.0,0.4505630449081461,0.934489618986845,0.28925418770975536,0.6452354316910108,0.0,0.21374537389386783,0.23657580440723044,0.540162223526147,0.9691946878302073,0.6742063491581223,0.8055555555108024,0.5428571428054422,0.7701587301587302,0.8690407662114303,285,0.518515107655641,0.07272727272066117,0.9643029425906209,0.5662281278779109,0.07367095933144266,2183,composite,0,0,0,10.0,1,1,0
4,0.9200580164842808,1.5785133154147926,0.7005729200351365,0.8779403962221247,0.0,1.0,0.25,0.0,0.7667844522968198,0.9752650176678446,0.0,0.4284635769824187,0.9054475426673889,0.2694689217540953,0.635978621741136,0.0,0.2499262240122665,0.28761098934578105,0.4264383932555967,0.9855217836493666,0.7007936507403565,0.6777777777401234,0.7238095237405896,0.768994708994709,0.8799184384681067,285,0.5219664079239157,0.05454545454049587,0.9893873613073354,0.5780555190106564,0.08381300174592057,2183,composite,0,0,0,10.0,1,1,0
5,0.8824983261025415,1.5390757215949755,0.6636391949737872,0.8754365308335308,0.0,1.0,0.25,0.0,0.7526501766784452,0.9893992932862191,0.0,0.43182920416196185,0.9311093083686299,0.26540250331163406,0.6657068050569959,0.0,0.258135893128135,0.28727486365766214,0.4155229683818645,0.9854343072693318,0.5579365079021101,0.9444444443919753,0.1714285714122449,0.7589417989417989,0.8666157169864245,285,0.5438385300071394,0.19090909089173555,0.8967679691225434,0.5972328202429505,0.08634242250498424,2183,composite,0,0,0,10.0,1,1,0
6,0.887532346240202,1.5394540256409257,0.6702251228974481,0.869228900531998,0.0,1.0,0.25,0.0,0.7773851590106007,0.9717314487632509,0.0,0.41481058216757244,0.8864812991685338,0.2575870098339187,0.6288942901624573,0.0,0.2765845243226398,0.31713830239592994,0.42042079357234435,0.988180973320894,0.6686507936028754,0.7944444444003086,0.5428571428054422,0.7836507936507938,0.8841106123912289,285,0.5156580274473016,0.06363636363057852,0.9676796912640248,0.5563697759066789,0.07522286841374015,2183,composite,0,0,0,10.0,1,1,0
7,0.8595455193056235,1.5213832726748167,0.6389329379733797,0.8824503308050203,0.0,1.0,0.25,0.0,0.7597173144876325,0.9823321554770318,0.0,0.41193644309209454,0.8905439045694139,0.25240062259965473,0.6381432811419169,0.0,0.29012116112492303,0.3256826121732358,0.3752570640381905,0.9916938782081884,0.6686507936028754,0.7944444444003086,0.5428571428054422,0.7596296296296297,0.87468152838586,285,0.5168267333189391,0.07272727272066117,0.960926193917217,0.5391571284480112,0.08845967950009342,2183,composite,0,0,0,10.0,1,1,0
8,0.862358139228905,1.5092432846450132,0.6467297596350154,0.8625135241675292,0.0,1.0,0.25,0.0,0.7773851590106007,0.9787985865724381,0.0,0.40488585208853084,0.8748931280440755,0.2482167606552442,0.6266763665609889,0.0,0.30013648759235034,0.33782520276307376,0.5040989208026502,0.9858091359583334,0.6186507936082987,0.8277777777317901,0.40952380948480727,0.765978835978836,0.8779641773325104,285,0.5103517081033813,0.06363636363057852,0.957067052576184,0.5832017716967066,0.0986856596288479,2183,composite,0,0,0,10.0,1,1,0
9,0.8359591027346601,1.4823209702336746,0.6205051441285299,0.8618158285272416,0.0,1.0,0.25,0.0,0.7667844522968198,0.9893992932862191,0.0,0.4067953835344977,0.875996347102854,0.2503950620690982,0.6256012846198347,0.0,0.2941334471106529,0.32730801423585854,0.4440819506400757,0.987841618258713,0.6853174602686161,0.8277777777317901,0.5428571428054422,0.7735978835978836,0.8797846388440806,285,0.5122812787738977,0.06363636363057852,0.960926193917217,0.5492040520984081,0.08229139257964684,2183,composite,0,0,0,10.0,1,1,0
10,0.8480545968449158,1.508932698109967,0.6277618938958266,0.8811708002124153,0.0,1.0,0.25,0.0,0.7667844522968198,0.9858657243816255,0.0,0.40461717639118433,0.8725290368828509,0.24864655567540062,0.6238824820352925,0.0,0.2959788895466111,0.3318646725258752,0.5441132861743991,0.9829358430309129,0.6928571428050454,0.6999999999611111,0.6857142856489796,0.7718518518518519,0.880299317755723,285,0.5216506599952303,0.07272727272066117,0.9705740472697995,0.5349822391790554,0.0725792603293938,2183,composite,0,0,0,10.0,1,1,0
11,0.8355983402514205,1.4834963479227397,0.6196323373081827,0.8638640128260366,0.0,1.0,0.25,0.0,0.773851590106007,0.9893992932862191,0.0,0.40588838338024086,0.8798040938046243,0.24791647990544638,0.6318876143130991,0.0,0.2972441857511347,0.3336496596074054,0.3439544745264951,0.9936320800399346,0.6277777777349647,0.8555555555080246,0.3999999999619048,0.7782010582010581,0.884785841382524,285,0.5117616103088333,0.07272727272066117,0.9507959478970054,0.5553786782440907,0.0763485576897943,2183,composite,0,0,0,10.0,1,1,0
