epoch,train_loss_total,train_loss_lesion,train_loss_lesion_dense,train_loss_lesion_sparse,train_loss_lesion_sys,em_w_lesion_dense,em_w_lesion_sparse,em_w_lesion_sys,active_lesion_dense,active_lesion_sparse,active_lesion_sys,train_loss_num_batches,train_loss_num_cases,train_loss_dense_cases,train_loss_sparse_cases,train_loss_sparse_voxels,train_loss_sys_cases,train_loss_sys_regions,val_loss_total,val_loss_lesion,val_loss_lesion_dense,val_loss_lesion_sparse,val_loss_lesion_sys,val_lesion_dice,val_lesion_f1,val_lesion_sens,val_lesion_spec,val_patient_bacc,val_patient_sens,val_patient_spec,val_patient_auc,val_patient_auprc,val_patient_n,val_region_bacc,val_region_sens,val_region_spec,val_region_auc,val_region_auprc,val_region_n,val_loss_num_batches,val_loss_num_cases,val_loss_dense_cases,val_loss_sparse_cases,val_loss_sparse_voxels,val_loss_sys_cases,val_loss_sys_regions,best_model_metric_name,use_em_weighting,use_logvar_clamp,use_curriculum,em_lr_multiplier,lesion_dense_enabled_this_epoch,lesion_sparse_enabled_this_epoch,lesion_sys_enabled_this_epoch
1,1.036115067285526,1.7232193546312031,1.0903072710009827,0.906427460577343,0.0,1.0,0.25,0.0,0.7385159010600707,0.9858657243816255,0.0,283,1131,348,781,772522,0,0,0.4785923155253394,0.9603755392526325,1.0304739420441376,0.9132081077397812,0.0,0.011850887351545573,0.014780831446946217,0.007727047305723516,0.9999294020480118,0.5658730158241938,0.255555555541358,0.8761904761070295,0.5794708994708995,0.7097240318926336,285,0.49999999999699524,0.0,0.9999999999939905,0.514996722027972,0.07250578903642227,1774,72,285,87,193,177463,0,0,composite,0,0,0,1.0,1,1,0
2,1.0081620338372064,1.66856814179138,1.002252935849387,0.8950101630753515,0.0,1.0,0.25,0.0,0.7879858657243817,0.9893992932862191,0.0,283,1131,348,783,772522,0,0,0.4629066583357359,0.9528394636354949,0.9711554687598656,0.9297675686789877,0.0,0.17982614700767127,0.21644640792644518,0.29410482163372104,0.9858163639263826,0.5523809523468632,0.9333333332814815,0.1714285714122449,0.728941798941799,0.8340762770992813,285,0.5289281031398155,0.09090909090082645,0.9669471153788045,0.520673076923077,0.08203190701932399,1774,72,285,87,193,177463,0,0,composite,0,0,0,1.0,1,1,0
3,0.9481408792085926,1.610528493538881,0.9509689153610975,0.8805884237040814,0.0,1.0,0.25,0.0,0.7667844522968198,0.9893992932862191,0.0,283,1131,348,779,772522,0,0,0.4540209503550279,0.9391868980307329,0.9471995275596092,0.9205468105316501,0.0,0.21374537389386783,0.23657580440723044,0.540162223526147,0.9691946878302073,0.6742063491581223,0.8055555555108024,0.5428571428054422,0.7701587301587302,0.8690407662114303,285,0.5192362325112749,0.07272727272066117,0.9657451923018886,0.5715253496503496,0.09117982665140334,1774,72,285,87,193,177463,0,0,composite,0,0,0,1.0,1,1,0
4,0.9207051643141596,1.5792436231352607,0.9149665982387531,0.884013898911072,0.0,1.0,0.25,0.0,0.7667844522968198,0.9752650176678446,0.0,283,1131,348,779,772522,0,0,0.4316638297156284,0.9097390087027298,0.8822904510059576,0.9111061565379442,0.0,0.2499262240122665,0.28761098934578105,0.4264383932555967,0.9855217836493666,0.7007936507403565,0.6777777777401234,0.7238095237405896,0.768994708994709,0.8799184384681067,285,0.5221645541903508,0.05454545454049587,0.9897836538402057,0.58201486013986,0.10554091180417442,1774,72,285,87,193,177463,0,0,composite,0,0,0,1.0,1,1,0
5,0.8823341708547978,1.5391034466518332,0.8826846434124584,0.869308638605785,0.0,1.0,0.25,0.0,0.7526501766784452,0.9893992932862191,0.0,283,1131,348,783,772522,0,0,0.4348425564013029,0.9347815856598971,0.870121166623872,0.9520387813313466,0.0,0.258135893128135,0.28727486365766214,0.4155229683818645,0.9854343072693318,0.5579365079021101,0.9444444443919753,0.1714285714122449,0.7589417989417989,0.8666157169864245,285,0.5482790646739157,0.19090909089173555,0.9056490384560959,0.6056107954545455,0.10790358316236265,1774,72,285,87,193,177463,0,0,composite,0,0,0,1.0,1,1,0
6,0.8881291129834666,1.5400633071503946,0.8566570269136593,0.8827294580470151,0.0,1.0,0.25,0.0,0.7773851590106007,0.9717314487632509,0.0,283,1131,348,779,772522,0,0,0.4175941112271526,0.8894810887805202,0.8450542071769978,0.8962248982389163,0.0,0.2765845243226398,0.31713830239592994,0.42042079357234435,0.988180973320894,0.6686507936028754,0.7944444444003086,0.5428571428054422,0.7836507936507938,0.8841106123912289,285,0.5149912587354625,0.06363636363057852,0.9663461538403465,0.5668105332167832,0.09240788842997488,1774,72,285,87,193,177463,0,0,composite,0,0,0,1.0,1,1,0
7,0.8601479604906155,1.5220982550942297,0.8457959466453256,0.8731251394442904,0.0,1.0,0.25,0.0,0.7597173144876325,0.9823321554770318,0.0,283,1131,348,782,772522,0,0,0.41473204927486285,0.893755783323656,0.8263219718275399,0.9092732805881917,0.0,0.29012116112492303,0.3256826121732358,0.3752570640381905,0.9916938782081884,0.6686507936028754,0.7944444444003086,0.5428571428054422,0.7596296296296297,0.87468152838586,285,0.5174333478959011,0.07272727272066117,0.9621394230711411,0.5497978583916083,0.11286412752185493,1774,72,285,87,193,177463,0,0,composite,0,0,0,1.0,1,1,0
8,0.8622322860910869,1.508978172491126,0.8326518985218015,0.8610278154245773,0.0,1.0,0.25,0.0,0.7773851590106007,0.9787985865724381,0.0,283,1131,348,782,772522,0,0,0.40771871115031993,0.8783861402879681,0.813649853070577,0.8944287931906402,0.0,0.30013648759235034,0.33782520276307376,0.5040989208026502,0.9858091359583334,0.6186507936082987,0.8277777777317901,0.40952380948480727,0.765978835978836,0.8779641773325104,285,0.5116859702739439,0.06363636363057852,0.9597355769173094,0.5915455638111888,0.12791479156978583,1774,72,285,87,193,177463,0,0,composite,0,0,0,1.0,1,1,0
9,0.8360612495192166,1.4829946129222975,0.8172650195915123,0.8579312631754783,0.0,1.0,0.25,0.0,0.7667844522968198,0.9893992932862191,0.0,283,1131,348,780,772522,0,0,0.4097856310114526,0.8800501245155669,0.8208827623005571,0.8944567761553308,0.0,0.2941334471106529,0.32730801423585854,0.4440819506400757,0.987841618258713,0.6853174602686161,0.8277777777317901,0.5428571428054422,0.7735978835978836,0.8797846388440806,285,0.5128878933508598,0.06363636363057852,0.9621394230711411,0.5561680506993006,0.10420159757084312,1774,72,285,87,193,177463,0,0,composite,0,0,0,1.0,1,1,0
10,0.8486525075926811,1.5096591901821335,0.8191956447801371,0.8577725164675537,0.0,1.0,0.25,0.0,0.7667844522968198,0.9858657243816255,0.0,283,1131,348,782,772522,0,0,0.4075479756844671,0.8764002375435411,0.8160988777533345,0.892175641529349,0.0,0.2959788895466111,0.3318646725258752,0.5441132861743991,0.9829358430309129,0.6928571428050454,0.6999999999611111,0.6857142856489796,0.7718518518518519,0.880299317755723,285,0.5210391171266487,0.07272727272066117,0.9693509615326362,0.5465089597902099,0.08832929676936037,1774,72,285,87,193,177463,0,0,composite,0,0,0,1.0,1,1,0
