epoch,train_loss_total,train_loss_lesion,train_loss_lesion_dense,train_loss_lesion_sparse,train_loss_lesion_sys,em_w_lesion_dense,em_w_lesion_sparse,em_w_lesion_sys,active_lesion_dense,active_lesion_sparse,active_lesion_sys,train_loss_num_batches,train_loss_num_cases,train_loss_dense_cases,train_loss_sparse_cases,train_loss_sparse_voxels,train_loss_sys_cases,train_loss_sys_regions,val_loss_total,val_loss_lesion,val_loss_lesion_dense,val_loss_lesion_sparse,val_loss_lesion_sys,val_lesion_dice,val_lesion_f1,val_lesion_sens,val_lesion_spec,val_patient_bacc,val_patient_sens,val_patient_spec,val_patient_auc,val_patient_auprc,val_patient_n,val_region_bacc,val_region_sens,val_region_spec,val_region_auc,val_region_auprc,val_region_n,val_loss_num_batches,val_loss_num_cases,val_loss_dense_cases,val_loss_sparse_cases,val_loss_sparse_voxels,val_loss_sys_cases,val_loss_sys_regions,best_model_metric_name,use_em_weighting,use_logvar_clamp,use_curriculum,em_lr_multiplier,lesion_dense_enabled_this_epoch,lesion_sparse_enabled_this_epoch,lesion_sys_enabled_this_epoch
1,0.7921119583696522,0.7929231327893352,1.0718956274547795,0.0,0.0,0.9659709446000547,0.0,0.0,0.7385159010600707,0.0,0.0,283,1131,348,0,0,0,0,0.3101706722326446,0.31004149202714887,1.005105879114962,0.0,0.0,0.16249032149260695,0.20039842737474922,0.22609213330991054,0.9899303610023729,0.6920634920138952,0.8222222221765432,0.5619047618512472,0.7422751322751322,0.8219885139495287,285,0.49999999999699524,0.0,0.9999999999939905,0.5324573863636364,0.081043916985614,1774,72,285,87,0,0,0,0,composite,1,1,1,10.0,1,0,0
2,0.7713219267830819,0.7712620764470122,0.9815495021041782,0.0,0.0,0.9977589426529281,0.0,0.0,0.7879858657243817,0.0,0.0,283,1131,348,0,0,0,0,0.29150999470760947,0.29182342897381697,0.9464229585110456,0.0,0.0,0.22582197019999678,0.24917764728227515,0.5162804525688572,0.97263074963978,0.5238095237794784,0.9999999999444444,0.04761904761451247,0.5588888888888889,0.7013840399778825,285,0.524185970256889,0.4636363635942149,0.5847355769195629,0.5251420454545453,0.08921540984616294,1774,72,285,87,0,0,0,0,composite,1,1,1,10.0,1,0,0
3,0.7091257227510609,0.710949470256937,0.9299973393308705,0.0,0.0,1.0540251508618412,0.0,0.0,0.7667844522968198,0.0,0.0,283,1131,348,0,0,0,0,0.29055080581129644,0.2910425294909561,0.9436416954829775,0.0,0.0,0.21463025801561095,0.2323623233622974,0.6275373868531603,0.9608386950213597,0.4999999999722222,0.9999999999444444,0.0,0.6755555555555556,0.7538331069100245,285,0.5213341345910267,0.49999999995454547,0.542668269227508,0.526791958041958,0.10073627101845031,1774,72,285,87,0,0,0,0,composite,1,1,1,10.0,1,0,0
4,0.6837376286559775,0.6880054881781419,0.8983616459814981,0.0,0.0,1.0935830728746556,0.0,0.0,0.7667844522968198,0.0,0.0,283,1131,348,0,0,0,0,0.2687895791572437,0.27120034485532524,0.8788247320843839,0.0,0.0,0.25700084187767724,0.2868244499160749,0.4210462234894594,0.986069509652623,0.4888888888617284,0.9777777777234568,0.0,0.7151322751322751,0.8216179445145655,285,0.5104239510346924,0.26363636361239673,0.757211538456988,0.49775458916083914,0.08213503070410083,1774,72,285,87,0,0,0,0,composite,1,1,1,10.0,1,0,0
5,0.6507756736402908,0.657249627600298,0.8740495768771774,0.0,0.0,1.1255232917125149,0.0,0.0,0.7526501766784452,0.0,0.0,283,1131,348,0,0,0,0,0.2640053565042061,0.26707673993027004,0.8667144419132978,0.0,0.0,0.25954931297085504,0.29952382185774484,0.3552379432648149,0.990325342273325,0.5499999999667989,0.966666666612963,0.13333333332063493,0.7029629629629629,0.7743949951808228,285,0.5583916083751319,0.30909090906280995,0.8076923076874538,0.5391553758741259,0.08273623790347143,1774,72,285,87,0,0,0,0,composite,1,1,1,10.0,1,0,0
6,0.6659774183699981,0.6736411464414588,0.8583918282355385,0.0,0.0,1.1446765661239624,0.0,0.0,0.7773851590106007,0.0,0.0,283,1131,348,0,0,0,0,0.2553138866759183,0.2595994472503662,0.841883161972309,0.0,0.0,0.2797218872742219,0.3147226249693127,0.47909308236818815,0.9846901795820727,0.4999999999722222,0.9999999999444444,0.0,0.6111640211640212,0.7258650510570948,285,0.5216346153602558,0.49999999995454547,0.543269230765966,0.5498524912587412,0.07523259697879509,1774,72,285,87,0,0,0,0,composite,1,1,1,10.0,1,0,0
7,0.6246339853204108,0.635911184638923,0.8388353635011048,0.0,0.0,1.1773847775408741,0.0,0.0,0.7597173144876325,0.0,0.0,283,1131,348,0,0,0,0,0.24814894659477368,0.2536621880113033,0.8218102756587938,0.0,0.0,0.2948997315358032,0.3293954422314603,0.376323245940938,0.9920340473310735,0.5190476190180272,0.9999999999444444,0.03809523809160998,0.6104761904761905,0.7054734874217456,285,0.5565996503270101,0.45454545450413225,0.658653846149888,0.5694766171328671,0.08529832540574883,1774,72,285,87,0,0,0,0,composite,1,1,1,10.0,1,0,0
8,0.6352781359860583,0.6473695581513733,0.8349644334494383,0.0,0.0,1.1903293983675145,0.0,0.0,0.7773851590106007,0.0,0.0,283,1131,348,0,0,0,0,0.24546886243318256,0.2514484447345399,0.8151828989215281,0.0,0.0,0.2948671985756267,0.34830540596675347,0.3804785401736713,0.9927265641103603,0.5337301586972947,0.9055555555052469,0.1619047618893424,0.7172486772486771,0.8180534834239505,285,0.5595552884454409,0.2999999999727273,0.8191105769181545,0.5561134178321678,0.08334106091757779,1774,72,285,87,0,0,0,0,composite,1,1,1,10.0,1,0,0
9,0.6143269444544899,0.6283919729035476,0.8260349226237713,0.0,0.0,1.2082076009507736,0.0,0.0,0.7667844522968198,0.0,0.0,283,1131,348,0,0,0,0,0.2465446760779933,0.25241109362819736,0.8186054325651848,0.0,0.0,0.29316356168551877,0.33104885179077703,0.41465114974744477,0.9893922370917576,0.521031746001855,0.9944444443891974,0.04761904761451247,0.5605291005291005,0.6647969694517435,285,0.5573481206082695,0.4181818181438017,0.6965144230727374,0.5572388548951048,0.0805823189112538,1774,72,285,87,0,0,0,0,composite,1,1,1,10.0,1,0,0
10,1.7038474251062443,1.6996618348555055,0.9627904313049097,0.9473960609042351,0.0,1.1286745745385915,0.999725938264557,0.0,0.7667844522968198,0.9858657243816255,0.0,283,1131,348,782,772522,0,0,0.8922897874263295,0.8964671791645519,0.8443067087524239,0.9055950502631938,0.0,0.2881962799213149,0.3277967303236559,0.39488758501469284,0.9905265320113767,0.6996031745490017,0.6277777777429012,0.7714285713551021,0.7703703703703704,0.8797634251624782,285,0.5225032779661866,0.06363636363057852,0.9813701923017947,0.552390187937063,0.10771141664242773,1774,72,285,87,193,177463,0,0,composite,1,1,1,10.0,1,1,0
11,1.5365980721278911,1.5481364186309694,0.8540351867847059,0.876876456073141,0.0,1.1209670212580543,1.038472066919711,0.0,0.773851590106007,0.9893992932862191,0.0,283,1131,348,782,772522,0,0,0.8820840526045415,0.8898102534444708,0.8332215383135039,0.8996861888255264,0.0,0.28341561352664774,0.3290677904437503,0.36624489011641254,0.9921098030148248,0.6896825396325081,0.7888888888450617,0.5904761904199547,0.7722751322751322,0.8807328072680344,285,0.5325721153771699,0.0999999999909091,0.9651442307634307,0.585593312937063,0.13078434388501642,1774,72,285,87,193,177463,0,0,composite,1,1,1,10.0,1,1,0
12,1.5268736118557809,1.5457208102830842,0.8268783808439627,0.8684656946773236,0.0,1.1720702092133646,1.075103872656401,0.0,0.8021201413427562,0.9929328621908127,0.0,283,1131,348,782,772522,0,0,0.9134258063215959,0.9194136705314904,0.8323518976397898,0.944687225279118,0.0,0.279289496215907,0.32232434967928014,0.3477685889278317,0.9925226528890928,0.6448412697969419,0.8611111110632715,0.42857142853061225,0.7742857142857142,0.8769195727251667,285,0.5406523164233711,0.16363636362148762,0.9176682692252545,0.6065887237762239,0.11341729226121536,1774,72,285,87,193,177463,0,0,composite,1,1,1,10.0,1,1,0
13,1.4616162956129861,1.4832151768799908,0.8192056048361734,0.8634081743487171,0.0,1.2119831453363803,1.1096361534334325,0.0,0.7561837455830389,0.9858657243816255,0.0,283,1131,348,779,772522,0,0,0.8597824734553956,0.871440973825622,0.8127069199222258,0.8840589423964839,0.0,0.2989995791153474,0.3378774486117317,0.44348000177067903,0.9885018271045412,0.6242063491635457,0.838888888842284,0.40952380948480727,0.7696825396825396,0.87926057372562,285,0.5409145541859931,0.15454545453140497,0.9272836538405813,0.5983009178321679,0.12492754578847372,1774,72,285,87,193,177463,0,0,composite,1,1,1,10.0,1,1,0
14,1.4639856763691317,1.4886155370902847,0.8131861584796303,0.8545760641202375,0.0,1.2079286208843596,1.1268832932091433,0.0,0.7809187279151943,0.9823321554770318,0.0,283,1131,348,777,772522,0,0,0.8735266186689076,0.8822066363535429,0.8675690437185353,0.8757210043223724,0.0,0.29174729910763825,0.32783447759360945,0.5370280478580868,0.9831807388911096,0.6960317459789053,0.6777777777401234,0.7142857142176872,0.7796825396825396,0.8855981165818592,285,0.5251693618826404,0.05454545454049587,0.995793269224785,0.6069984702797203,0.11890424681012979,1774,72,285,87,193,177463,0,0,composite,1,1,1,10.0,1,1,0
15,1.4445208230975664,1.468641382208132,0.8110603349304747,0.8523004966768515,0.0,1.2349653766349011,1.141741518418275,0.0,0.7491166077738516,0.9858657243816255,0.0,283,1131,348,781,772522,0,0,0.856782397261837,0.8690471076128775,0.8089857300122579,0.8818726220705824,0.0,0.2994100925597278,0.34088708155460595,0.409510849503191,0.9906781972514742,0.6654761904290155,0.8166666666212963,0.5142857142367347,0.7775661375661377,0.8826168692825092,285,0.537756774467276,0.11818181817107438,0.9573317307634777,0.6375983391608391,0.13361848686711758,1774,72,285,87,193,177463,0,0,composite,1,1,1,10.0,1,1,0
16,1.423727156523579,1.4507253048801507,0.7958622555965664,0.8408316913962799,0.0,1.2474583509532806,1.1492413295031436,0.0,0.7632508833922261,0.9717314487632509,0.0,283,1131,348,779,772522,0,0,0.8662427774646826,0.8774540903275473,0.8004029797411513,0.8948866647593394,0.0,0.3112487115643241,0.3463543806559475,0.5200326338531223,0.9855856970757507,0.5773809523441515,0.9166666666157407,0.23809523807256236,0.777989417989418,0.8816036036943391,285,0.5638330419442341,0.2454545454322314,0.8822115384562368,0.648552229020979,0.13196101708059038,1774,72,285,87,193,177463,0,0,composite,1,1,1,10.0,1,1,0
17,1.4127634832755747,1.4425175238456693,0.7899809130306902,0.8461513978248322,0.0,1.244785777250364,1.1462323484488175,0.0,0.7632508833922261,0.9752650176678446,0.0,283,1131,348,777,772522,0,0,0.8510411904569257,0.864054782976184,0.8053891987636171,0.8749900469802109,0.0,0.3052207333120433,0.3495895470330325,0.36111423415277627,0.9938672646621001,0.6293650793212333,0.8111111110660494,0.44761904757641724,0.7614285714285715,0.8752650548418284,285,0.5271252185244417,0.09090909090082645,0.9633413461480569,0.627764423076923,0.10972995182732338,1774,72,285,87,193,177463,0,0,composite,1,1,1,10.0,1,1,0
18,1.4447678590010584,1.4752014111249874,0.790326065201869,0.8435761309503621,0.0,1.2554417743278476,1.1624447785502188,0.0,0.7915194346289752,0.9893992932862191,0.0,283,1131,348,781,772522,0,0,0.8431920007655495,0.8576666990915934,0.7877873175445644,0.8734963572123441,0.0,0.32136186212301254,0.3608906209722786,0.4692624703452804,0.9894975662536325,0.5527777777430997,0.9055555555052469,0.1999999999809524,0.774074074074074,0.8863796860885507,285,0.5401988636277146,0.12727272726115704,0.9531249999942721,0.6208369755244755,0.11702958622320057,1774,72,285,87,193,177463,0,0,composite,1,1,1,10.0,1,1,0
19,1.4086474639772841,1.4403787837104394,0.7899002507328987,0.8395669351371763,0.0,1.2719432524152021,1.1625118428321273,0.0,0.7632508833922261,0.9823321554770318,0.0,283,1131,348,782,772522,0,0,0.8415093133324071,0.8561218487588983,0.79167666517455,0.8719452123955053,0.0,0.3266530748118054,0.3645710429456728,0.4232775179753459,0.991868068724468,0.7015873015341523,0.6888888888506173,0.7142857142176872,0.7765079365079365,0.8853780858697549,285,0.5127731643310391,0.03636363636033058,0.9891826923017477,0.6434003496503496,0.1270444230502103,1774,72,285,87,193,177463,0,0,composite,1,1,1,10.0,1,1,0
20,1.3782421790004094,1.4137697928674868,0.7810362662220823,0.8393616349630031,0.0,1.2764553084390324,1.1685575819689478,0.0,0.7455830388692579,0.9893992932862191,0.0,283,1131,348,781,772522,0,0,0.849194818421414,0.8625006717548036,0.7955667342262707,0.8778762163885659,0.0,0.31165336072444916,0.35415909332928214,0.5084400262434237,0.9873038747481142,0.6869047618522393,0.6499999999638889,0.7238095237405896,0.7755026455026455,0.8816253013294845,285,0.5113090034915012,0.045454545450413227,0.9771634615325893,0.6213778409090909,0.10434231283606588,1774,72,285,87,193,177463,0,0,composite,1,1,1,10.0,1,1,0
21,1.3790349063885938,1.41634402308814,0.7703821750721712,0.8335028353425435,0.0,1.2862159814093221,1.17706675074547,0.0,0.7561837455830389,0.9858657243816255,0.0,283,1131,348,782,772522,0,0,0.8523234566052754,0.8647336798801757,0.8060014556194174,0.8749240055957116,0.0,0.30186329274014995,0.3375358749050449,0.35932530555334047,0.993210150192814,0.6841269840759385,0.711111111071605,0.6571428570802722,0.7709523809523808,0.8816323333980794,285,0.5113090034915012,0.045454545450413227,0.9771634615325893,0.6157888986013987,0.11415023000481475,1774,72,285,87,193,177463,0,0,composite,1,1,1,10.0,1,1,0
22,1.3921045047007863,1.4275043609393159,0.7777827209953604,0.8375777680027544,0.0,1.2952128467627213,1.1811976335916419,0.0,0.7703180212014135,0.9823321554770318,0.0,283,1131,348,781,772522,0,0,0.8421937973875748,0.8563052317552399,0.8002537858897242,0.8667777296117213,0.0,0.31066823276606476,0.3435269002128681,0.45473908761131815,0.988763323362388,0.6837301586810247,0.8055555555108024,0.5619047618512472,0.7901587301587302,0.890410685738283,285,0.525284090902461,0.08181818181074381,0.9687499999941782,0.6449901660839161,0.12634036378556485,1774,72,285,87,193,177463,0,0,composite,1,1,1,10.0,1,1,0
23,1.3662595935462325,1.4030249409713542,0.7703284434545999,0.8360049218558322,0.0,1.2913801884903924,1.1871766829237922,0.0,0.7420494699646644,0.9858657243816255,0.0,283,1131,348,783,772522,0,0,0.8409580743103696,0.8555205801077056,0.7907483399599448,0.867389308618865,0.0,0.32087323340502655,0.3571879083038626,0.4783515178922921,0.9888229802658883,0.5972222221824295,0.8611111110632715,0.3333333333015873,0.7628042328042327,0.8778962659603696,285,0.5151059877552832,0.09090909090082645,0.9393028846097399,0.6129261363636364,0.09355398720691924,1774,72,285,87,193,177463,0,0,composite,1,1,1,10.0,1,1,0
24,1.3749455220924869,1.4130312507917773,0.7653854741104718,0.8274856880590167,0.0,1.302349803725738,1.1750423343779763,0.0,0.7561837455830389,0.9858657243816255,0.0,283,1131,348,782,772522,0,0,0.8455164909362793,0.8589899772091916,0.8009702652350239,0.8669019616661215,0.0,0.30458682165904477,0.34378780766839506,0.5049052528535011,0.9864786897395645,0.5630952380597978,0.9166666666157407,0.20952380950385488,0.7801058201058201,0.8858019890028945,285,0.5451977709684124,0.17272727271157026,0.9176682692252545,0.6342711975524475,0.10312002252281431,1774,72,285,87,193,177463,0,0,composite,1,1,1,10.0,1,1,0
