experiment,epochs,n_epochs,use_em,use_curriculum,sparse_start,sparse_weight,pos_soft,neg_soft,em_lr,clamp,best_composite_epoch,best_composite,best_dice_at_composite,best_patient_bacc_at_composite,best_region_bacc_at_composite,best_val_loss_at_composite,best_lesion_dice,best_lesion_dice_epoch,best_lesion_f1,best_lesion_f1_epoch,best_patient_bacc,best_patient_bacc_epoch,best_patient_auc,best_patient_auc_epoch,best_region_bacc,best_region_bacc_epoch,best_region_auc,best_region_auc_epoch,last_epoch,last_composite
N2_CM05_FixedW005_Curr15_P09N005,1-53,53,False,True,15,0.05,0.9,0.05,1.0,False,33,0.48255031631119216,0.3454127250747247,0.7289682539115048,0.5104075611838144,0.2668375030748154,0.3521377058191733,41,0.4062222824723046,49,0.7289682539115048,33,0.7949206349206349,16,0.5901059877378525,12,0.6466510052447552,16,53,0.4487132236243564
N2_CM03_FixedW010_Curr10_P09N005,1-53,53,False,True,10,0.1,0.9,0.05,1.0,False,33,0.47795580908106416,0.3474377569827167,0.6944444443926368,0.5225032779661866,0.29636096554367164,0.3474377569827167,33,0.39064839428955994,30,0.7103174602645819,14,0.7943915343915343,36,0.5632867132632611,9,0.6457550262237763,18,53,0.43819451692035694
N2_CM04_FixedW010_Curr15_P09N005,1-51,51,False,True,15,0.1,0.9,0.05,1.0,False,31,0.4752118987516861,0.34472155706448987,0.6940476189950775,0.5173568618826874,0.3001411081013972,0.3486449034376578,44,0.39742322614125863,44,0.7373015872443751,39,0.7982010582010582,27,0.5901059877378525,12,0.650114729020979,15,51,0.44109283071969374
N2_CM02_FixedW025_Curr10_P09N005,1-51,51,False,True,10,0.25,0.9,0.05,1.0,False,31,0.47462473018594176,0.3351118185303428,0.7103174602619362,0.5179578234211453,0.3928260350697919,0.3516582988879897,35,0.39413733139274193,35,0.7174603174047745,39,0.8000529100529101,27,0.5632867132632611,9,0.6594132430069931,19,51,0.4528686233983594
N2_CM06_FixedW010_Curr10_P085N010,1-54,54,False,True,10,0.1,0.85,0.1,1.0,False,34,0.4709023101564086,0.3343938887119293,0.6968253967740237,0.5179960664277522,0.30469607475556826,0.3466624455018477,35,0.3904978154281487,35,0.6968253967740237,34,0.7935978835978836,11,0.5632867132632611,9,0.6474377185314686,18,54,0.4264057166686552
N2_EM,1-39,39,True,True,10,0.25,0.9,0.05,10.0,True,19,0.46691665387220055,0.3266530748118054,0.7015873015341523,0.5127731643310391,0.8415093133324071,0.32867891409180383,36,0.37093283293772006,30,0.7015873015341523,19,0.7920105820105819,29,0.5838614510300061,37,0.648552229020979,16,39,0.4535786830602938
N2_CM01_FixedW025_NoCurr_P09N005,1-65,65,False,False,1,0.25,0.9,0.05,1.0,False,45,0.4661599654531049,0.32808883217248047,0.6218253967848041,0.5866368006826544,0.4125247090009221,0.3365470943125812,46,0.38419838035147347,46,0.7007936507403565,4,0.7925925925925926,53,0.592537150331039,52,0.6259888548951049,24,65,0.43887794181010165
N2_CM07_EM1_Curr15_ClampN05P1_P09N005,1-62,62,True,True,15,0.25,0.9,0.05,1.0,True,42,0.46605978175462315,0.32793126052076166,0.6301587301163517,0.5782178758606175,0.8485909254927384,0.3397222093560479,35,0.3863164285115668,46,0.7091269840745497,1,0.795873015873016,29,0.6045181380935908,46,0.6460773601398601,22,62,0.4274780328874559
N2_0.25weight_softlabel,1-65,65,False,False,1,0.25,0.9,0.05,10.0,False,45,0.46480620754478275,0.32808883217248047,0.6218253967848041,0.5812217690493661,0.41007065762662226,0.3365470943125812,46,0.38419838035147347,46,0.7007936507403565,4,0.7925925925925926,53,0.583929746067964,52,0.6126167609525064,24,65,0.4364410471202617
N2_lower_weight,1-65,65,False,False,1,0.25,,,10.0,False,45,0.4534265119997457,0.3317931948060339,0.5404761904438965,0.6096434679430184,0.40656309481710196,0.33902236954732373,35,0.3823646221893204,45,0.6940476189950775,4,0.7812698412698412,31,0.6181028811757304,59,0.6242292680787616,54,65,0.42710963310570393
N2_Soft_label,1-56,56,False,False,1,1.0,0.9,0.05,10.0,False,36,0.45013951898443827,0.32440433583476325,0.6361111110691579,0.5156382931990686,0.8641239971750312,0.32944907315752725,35,0.37183880822521387,45,0.6742063491567996,20,0.7937037037037037,36,0.6006446519970089,37,0.6400956014559488,24,56,0.4284778761890559
N2,1-3,3,False,False,1,1.0,,,10.0,False,3,0.2839650517273403,0.033207881258741606,0.5694444443942901,0.49999999999758804,0.9343684526781241,0.033207881258741606,3,0.04587237724139354,3,0.5694444443942901,3,0.6826455026455026,3,0.49999999999758804,1,0.5722755777748542,3,3,0.2839650517273403
