experiment,metric,best_epoch,best_value,composite_at_that_epoch,dice_at_that_epoch,patient_bacc_at_that_epoch,region_bacc_at_that_epoch
N2,val_lesion_dice,3,0.033207881,0.283965052,0.033207881,0.569444444,0.5
N2,val_lesion_f1,3,0.045872377,0.283965052,0.033207881,0.569444444,0.5
N2,val_lesion_sens,3,0.026166503,0.283965052,0.033207881,0.569444444,0.5
N2,val_lesion_spec,1,1,0.25000001,1.92E-08,0.5,0.5
N2,val_patient_auc,3,0.682645503,0.283965052,0.033207881,0.569444444,0.5
N2,val_patient_auprc,3,0.787461578,0.283965052,0.033207881,0.569444444,0.5
N2,val_patient_bacc,3,0.569444444,0.283965052,0.033207881,0.569444444,0.5
N2,val_patient_sens,2,0.205555556,0.260360152,0.002664748,0.536111111,0.5
N2,val_patient_spec,1,1,0.25000001,1.92E-08,0.5,0.5
N2,val_region_auc,3,0.572275578,0.283965052,0.033207881,0.569444444,0.5
N2,val_region_auprc,3,0.071288869,0.283965052,0.033207881,0.569444444,0.5
N2,val_region_bacc,1,0.5,0.25000001,1.92E-08,0.5,0.5
N2,val_region_sens,1,0,0.25000001,1.92E-08,0.5,0.5
N2,val_region_spec,1,1,0.25000001,1.92E-08,0.5,0.5
N2_0.25weight_softlabel,val_lesion_dice,46,0.336547094,0.450377027,0.336547094,0.592460317,0.535953603
N2_0.25weight_softlabel,val_lesion_f1,46,0.38419838,0.450377027,0.336547094,0.592460317,0.535953603
N2_0.25weight_softlabel,val_lesion_sens,10,0.544113286,0.451616395,0.29597889,0.692857143,0.52165066
N2_0.25weight_softlabel,val_lesion_spec,1,0.999929402,0.272393698,0.011850887,0.565873016,0.5
N2_0.25weight_softlabel,val_patient_auc,53,0.792592593,0.448588546,0.32328221,0.6,0.547789764
N2_0.25weight_softlabel,val_patient_auprc,53,0.889592167,0.448588546,0.32328221,0.6,0.547789764
N2_0.25weight_softlabel,val_patient_bacc,4,0.700793651,0.430653127,0.249926224,0.700793651,0.521966408
N2_0.25weight_softlabel,val_patient_sens,24,0.972222222,0.421154513,0.31301842,0.524206349,0.534374863
N2_0.25weight_softlabel,val_patient_spec,1,0.876190476,0.272393698,0.011850887,0.565873016,0.5
N2_0.25weight_softlabel,val_region_auc,24,0.612616761,0.421154513,0.31301842,0.524206349,0.534374863
N2_0.25weight_softlabel,val_region_auprc,8,0.09868566,0.432318869,0.300136488,0.618650794,0.510351708
N2_0.25weight_softlabel,val_region_bacc,52,0.583929746,0.452928029,0.333534042,0.560714286,0.583929746
N2_0.25weight_softlabel,val_region_sens,52,0.354545455,0.452928029,0.333534042,0.560714286,0.583929746
N2_0.25weight_softlabel,val_region_spec,1,1,0.272393698,0.011850887,0.565873016,0.5
N2_CM01_FixedW025_NoCurr_P09N005,val_lesion_dice,46,0.336547094,0.451936867,0.336547094,0.592460317,0.542192963
N2_CM01_FixedW025_NoCurr_P09N005,val_lesion_f1,46,0.38419838,0.451936867,0.336547094,0.592460317,0.542192963
N2_CM01_FixedW025_NoCurr_P09N005,val_lesion_sens,10,0.544113286,0.45146351,0.29597889,0.692857143,0.521039117
N2_CM01_FixedW025_NoCurr_P09N005,val_lesion_spec,1,0.999929402,0.272393698,0.011850887,0.565873016,0.5
N2_CM01_FixedW025_NoCurr_P09N005,val_patient_auc,53,0.792592593,0.450702239,0.32328221,0.6,0.556244537
N2_CM01_FixedW025_NoCurr_P09N005,val_patient_auprc,53,0.889592167,0.450702239,0.32328221,0.6,0.556244537
N2_CM01_FixedW025_NoCurr_P09N005,val_patient_bacc,4,0.700793651,0.430702663,0.249926224,0.700793651,0.522164554
N2_CM01_FixedW025_NoCurr_P09N005,val_patient_sens,24,0.972222222,0.422303203,0.31301842,0.524206349,0.538969624
