epoch,train_loss_total,train_loss_lesion,train_loss_lesion_dense,train_loss_lesion_sparse,train_loss_lesion_sys,em_w_lesion_dense,em_w_lesion_sparse,em_w_lesion_sys,active_lesion_dense,active_lesion_sparse,active_lesion_sys,val_loss_total,val_loss_lesion,val_loss_lesion_dense,val_loss_lesion_sparse,val_loss_lesion_sys,val_lesion_dice,val_lesion_f1,val_lesion_sens,val_lesion_spec,val_patient_bacc,val_patient_sens,val_patient_spec,val_patient_auc,val_patient_auprc,val_patient_n,val_region_bacc,val_region_sens,val_region_spec,val_region_auc,val_region_auprc,val_region_n,best_model_metric_name,use_em_weighting,use_logvar_clamp,use_curriculum,em_lr_multiplier,lesion_dense_enabled_this_epoch,lesion_sparse_enabled_this_epoch,lesion_sys_enabled_this_epoch
1,1.030589158261728,1.6929687487468281,0.8097959624162411,0.8831727787483707,0.0,1.0,0.25,0.0,0.7385159010600707,0.9858657243816255,0.0,0.4723265234174,0.936552399976386,0.3175845651162995,0.6189678348600864,0.0,0.0011176638760868455,0.0018350774258412029,0.0009238927253758942,0.9999947547326422,0.5384920634428729,0.10555555554969136,0.9714285713360544,0.5823809523809523,0.7148794598510092,285,0.49999999999758804,0.0,0.9999999999951761,0.5172389597859931,0.059653066269314735,2183,composite,0,0,0,10.0,1,1,0
2,1.0046205784691096,1.636274633790916,0.7940692240273574,0.8422054132387411,0.0,1.0,0.25,0.0,0.7879858657243817,0.9893992932862191,0.0,0.4563131055070294,0.9312115071548356,0.29801363829109406,0.6331978688637415,0.0,0.17556273666295139,0.21435776708143486,0.26434961642934557,0.9884424160611335,0.5440476190139928,0.9166666666157407,0.1714285714122449,0.7211640211640211,0.8257717743272337,285,0.5211309915301658,0.08181818181074381,0.9604438012495878,0.5069508398017806,0.061513795699026846,2183,composite,0,0,0,10.0,1,1,0
3,0.9497716937595879,1.5873950846203646,0.7372305641747195,0.8501645214460763,0.0,1.0,0.25,0.0,0.7667844522968198,0.9893992932862191,0.0,0.4493469924976428,0.9149940866563055,0.2941312947207027,0.6208627915216817,0.0,0.20836405456066132,0.2291049499856657,0.571043443910861,0.9642182874741195,0.6769841269357457,0.8111111110660494,0.5428571428054422,0.7671957671957672,0.8662317607384421,285,0.5225781695330532,0.08181818181074381,0.9633381572553626,0.5814103407446389,0.0813468841889867,2183,composite,0,0,0,10.0,1,1,0
4,0.9198280958057292,1.5513526783604503,0.7093199021824679,0.8420327742824285,0.0,1.0,0.25,0.0,0.7667844522968198,0.9752650176678446,0.0,0.42217112777547705,0.8802705022195975,0.26947133657005096,0.6107991664773889,0.0,0.2599521265788512,0.29598418920384667,0.39908841521066524,0.9880605585191428,0.6940476189950775,0.6833333332953704,0.7047619046947846,0.7773015873015873,0.8825113396915313,285,0.5243410954646259,0.06363636363057852,0.9850458272986733,0.5892645704512564,0.08181686535146697,2183,composite,0,0,0,10.0,1,1,0
5,0.8829167042414628,1.5156828455705946,0.671994657904015,0.8436881897727508,0.0,1.0,0.25,0.0,0.7526501766784452,0.9893992932862191,0.0,0.41309084215511876,0.8722304349972142,0.26004431148370105,0.6121861235135131,0.0,0.27856607802889566,0.3141721503809224,0.4475861785668453,0.9864934853134496,0.5880952380570861,0.8999999999499999,0.27619047616417236,0.768095238095238,0.8768823365122647,285,0.5420953383237999,0.14545454544132233,0.9387361312062773,0.5842827698109898,0.08560348103046675,2183,composite,0,0,0,10.0,1,1,0
6,0.8868486066431123,1.5038457638172715,0.6811828840747739,0.8226628780575608,0.0,1.0,0.25,0.0,0.7773851590106007,0.9717314487632509,0.0,0.4125644106210934,0.8677653376426961,0.2608307682805591,0.606934568948216,0.0,0.26861796460368415,0.3154732322000467,0.3575513444792805,0.9917629780819864,0.6599206348737685,0.8055555555108024,0.5142857142367347,0.7748677248677249,0.8802250456448069,285,0.5089418058979293,0.05454545454049587,0.9633381572553626,0.5733193000920932,0.09147609130247494,2183,composite,0,0,0,10.0,1,1,0
7,0.854614533641945,1.4873999632078851,0.6436860565583192,0.8437139048066662,0.0,1.0,0.25,0.0,0.7597173144876325,0.9823321554770318,0.0,0.4068537385513385,0.864822822312514,0.2541973772976134,0.6106254446009795,0.0,0.28637230464003305,0.32486151539415425,0.3583570631542597,0.992429384414434,0.6611111110638007,0.7888888888450617,0.5333333332825397,0.7660317460317461,0.8758925782681947,285,0.5136911809793497,0.07272727272066117,0.9546550892380383,0.5540586764899356,0.08721505414505346,2183,composite,0,0,0,10.0,1,1,0
8,0.8587899108288988,1.4796757610652977,0.6518279606798933,0.8278478009382744,0.0,1.0,0.25,0.0,0.7773851590106007,0.9787985865724381,0.0,0.40077051075382364,0.8481979183852673,0.2516280420952373,0.5965698754621876,0.0,0.29038155756213446,0.326229934966853,0.5097273519242788,0.9842258454010335,0.6234126983697499,0.8277777777317901,0.41904761900770976,0.7601058201058201,0.8749136880691246,285,0.5143774941833581,0.08181818181074381,0.9469368065559723,0.5727491996667105,0.09549191433827878,2183,composite,0,0,0,10.0,1,1,0
9,0.8287997392299108,1.438978155015214,0.6254069368114741,0.8135712199939856,0.0,1.0,0.25,0.0,0.7667844522968198,0.9893992932862191,0.0,0.39623836065746015,0.8423487490250005,0.24753489759233263,0.594813851846589,0.0,0.30364028770815243,0.3371800156195954,0.4648138925597987,0.9876867436174943,0.6571428570961451,0.7999999999555555,0.5142857142367347,0.7667195767195766,0.8767126439075603,285,0.5229860106058116,0.0999999999909091,0.9459720212207141,0.585124764285401,0.08787391979944038,2183,composite,0,0,0,10.0,1,1,0
10,0.8397070775762885,1.4706823502538904,0.6293819842616577,0.8413003669136826,0.0,1.0,0.25,0.0,0.7667844522968198,0.9858657243816255,0.0,0.3958816027475728,0.8393780150347285,0.24804946531852087,0.5913285493022866,0.0,0.3008006350560622,0.33571891330254106,0.5269990062102173,0.9845114116081066,0.6555555555059083,0.6444444444086419,0.6666666666031746,0.7629100529100529,0.8750889884335616,285,0.5178287944516327,0.06363636363057852,0.9720212252726869,0.5584747620927071,0.07015231145804718,2183,composite,0,0,0,10.0,1,1,0
