epoch,train_loss_total,train_loss_lesion,train_loss_lesion_dense,train_loss_lesion_sparse,train_loss_lesion_sys,em_w_lesion_dense,em_w_lesion_sparse,em_w_lesion_sys,active_lesion_dense,active_lesion_sparse,active_lesion_sys,train_loss_num_batches,train_loss_num_cases,train_loss_dense_cases,train_loss_sparse_cases,train_loss_sparse_voxels,train_loss_sys_cases,train_loss_sys_regions,val_loss_total,val_loss_lesion,val_loss_lesion_dense,val_loss_lesion_sparse,val_loss_lesion_sys,val_lesion_dice,val_lesion_f1,val_lesion_sens,val_lesion_spec,val_patient_bacc,val_patient_sens,val_patient_spec,val_patient_auc,val_patient_auprc,val_patient_n,val_region_bacc,val_region_sens,val_region_spec,val_region_auc,val_region_auprc,val_region_n,val_loss_num_batches,val_loss_num_cases,val_loss_dense_cases,val_loss_sparse_cases,val_loss_sparse_voxels,val_loss_sys_cases,val_loss_sys_regions,best_model_metric_name,use_em_weighting,use_logvar_clamp,use_curriculum,em_lr_multiplier,lesion_dense_enabled_this_epoch,lesion_sparse_enabled_this_epoch,lesion_sys_enabled_this_epoch
1,0.824706465,0.824706465,1.073012197,0,0,1,0,0,0.769811321,0,0,265,1060,348,0,0,0,0,0.308378722,0.308378722,0.99983549,0,0,0.190151572,0.21364069,0.357733937,0.979140931,0.528968254,0.972222222,0.085714286,0.644444444,0.733875043,285,0.541417177,0.345454545,0.737379808,0.528512893,0.085969348,1774,72,285,87,0,0,0,0,composite,0,1,1,1,1,0,0
2,0.812748916,0.812748916,0.975458198,0,0,1,0,0,0.830188679,0,0,265,1060,348,0,0,0,0,0.295553511,0.295553511,0.957018695,0,0,0.195033538,0.236463414,0.247108109,0.99254345,0.56547619,0.883333333,0.247619048,0.67994709,0.755309934,285,0.54847028,0.236363636,0.860576923,0.512642045,0.087719934,1774,72,285,87,0,0,0,0,composite,0,1,1,1,1,0,0
3,0.742017505,0.742017505,0.931227637,0,0,1,0,0,0.796226415,0,0,265,1060,348,0,0,0,0,0.281145174,0.281145174,0.911604405,0,0,0.235542378,0.266598432,0.385722567,0.985258015,0.530555556,0.994444444,0.066666667,0.60026455,0.711959323,285,0.520421766,0.354545455,0.686298077,0.529266827,0.089322412,1774,72,285,87,0,0,0,0,composite,0,1,1,1,1,0,0
4,0.723807791,0.723807791,0.90141319,0,0,1,0,0,0.796226415,0,0,265,1060,348,0,0,0,0,0.281052585,0.281052585,0.910480669,0,0,0.233134071,0.254891443,0.589467166,0.969194331,0.5,1,0,0.654656085,0.74162574,285,0.514652535,0.554545454,0.474759615,0.54885271,0.089789146,1774,72,285,87,0,0,0,0,composite,0,1,1,1,1,0,0
5,0.704846712,0.704846712,0.878627333,0,0,1,0,0,0.8,0,0,265,1060,348,0,0,0,0,0.267603873,0.267603873,0.866949063,0,0,0.2641413,0.288807135,0.312890606,0.992446522,0.516269841,0.994444444,0.038095238,0.611322751,0.715698092,285,0.532145979,0.427272727,0.637019231,0.55307583,0.084297933,1774,72,285,87,0,0,0,0,composite,0,1,1,1,1,0,0
6,0.698460431,0.698460431,0.860795065,0,0,1,0,0,0.81509434,0,0,265,1060,348,0,0,0,0,0.261470522,0.261470522,0.847942091,0,0,0.273738954,0.301458449,0.420641706,0.986592289,0.5,1,0,0.597566138,0.684001077,285,0.553600306,0.527272727,0.579927885,0.559932255,0.084171307,1774,72,285,87,0,0,0,0,composite,0,1,1,1,1,0,0
7,0.665704108,0.665704108,0.843654681,0,0,1,0,0,0.79245283,0,0,265,1060,348,0,0,0,0,0.272340867,0.272340867,0.883640798,0,0,0.244958709,0.266735218,0.505092767,0.976206256,0.5,1,0,0.48994709,0.674056768,285,0.519312719,0.590909091,0.447716346,0.546290428,0.08889498,1774,72,285,87,0,0,0,0,composite,0,1,1,1,1,0,0
8,0.65749676,0.65749676,0.83718578,0,0,1,0,0,0.78490566,0,0,265,1060,348,0,0,0,0,0.25339198,0.25339198,0.820746436,0,0,0.300326992,0.331065487,0.391733633,0.991496663,0.5,1,0,0.672222222,0.766253238,285,0.521552666,0.409090909,0.634014423,0.519279939,0.06672767,1774,72,285,87,0,0,0,0,composite,0,1,1,1,1,0,0
9,0.641540354,0.641540354,0.819866473,0,0,1,0,0,0.777358491,0,0,265,1060,348,0,0,0,0,0.24866201,0.24866201,0.804993694,0,0,0.311509736,0.347092227,0.387886136,0.99242184,0.5,1,0,0.656216931,0.745043021,285,0.530381337,0.436363636,0.624399038,0.559664554,0.081852804,1774,72,285,87,0,0,0,0,composite,0,1,1,1,1,0,0
10,0.62762235,0.62762235,0.806163832,0,0,1,0,0,0.781132075,0,0,265,1060,348,0,0,0,0,0.253602373,0.253602373,0.823230972,0,0,0.288261433,0.322602802,0.423395163,0.988255076,0.5,1,0,0.592301587,0.689884636,285,0.532719624,0.563636364,0.501802885,0.535500437,0.075154816,1774,72,285,87,0,0,0,0,composite,0,1,1,1,1,0,0
