epoch,train_loss_total,train_loss_lesion,train_loss_lesion_dense,train_loss_lesion_sparse,train_loss_lesion_sys,em_w_lesion_dense,em_w_lesion_sparse,em_w_lesion_sys,active_lesion_dense,active_lesion_sparse,active_lesion_sys,train_loss_num_batches,train_loss_num_cases,train_loss_dense_cases,train_loss_sparse_cases,train_loss_sparse_voxels,train_loss_sys_cases,train_loss_sys_regions,val_loss_total,val_loss_lesion,val_loss_lesion_dense,val_loss_lesion_sparse,val_loss_lesion_sys,val_lesion_dice,val_lesion_f1,val_lesion_sens,val_lesion_spec,val_patient_bacc,val_patient_sens,val_patient_spec,val_patient_auc,val_patient_auprc,val_patient_n,val_region_bacc,val_region_sens,val_region_spec,val_region_auc,val_region_auprc,val_region_n,val_loss_num_batches,val_loss_num_cases,val_loss_dense_cases,val_loss_sparse_cases,val_loss_sparse_voxels,val_loss_sys_cases,val_loss_sys_regions,best_model_metric_name,use_em_weighting,use_logvar_clamp,use_curriculum,em_lr_multiplier,lesion_dense_enabled_this_epoch,lesion_sparse_enabled_this_epoch,lesion_sys_enabled_this_epoch
1,2.403062961461409,2.403062961461409,1.2109154688900914,0.0,1.5461512147310041,1.0,0.0,1.0,0.769811320754717,0.0,0.9962264150943396,265,1060,348,0,0,712,7073,1.4666242455181322,1.4666242455181322,1.1127750517308026,0.0,1.6328966471092543,0.01680271350249479,0.020391961423398917,0.012482568772446636,0.9977922472669298,0.50198412695605,0.9944444443891974,0.009523809522902495,0.32460317460317456,0.5855784164997583,285,0.49085992129060396,0.8272727271975208,0.15444711538368722,0.5170236013986014,0.0817524203937753,1774,72,285,87,0,0,182,1774,composite,0,0,0,10.0,1,0,1
2,2.41852203944944,2.41852203944944,1.1043555940362229,0.0,1.5707849591283638,1.0,0.0,1.0,0.8301886792452831,0.0,0.9849056603773585,265,1060,348,0,0,712,7073,1.4081331566760416,1.4081331566760416,1.0698445048825493,0.0,1.5515816811778769,0.10603435405276039,0.13019985449339194,0.1697607177451587,0.98596914922673,0.4999999999722222,0.9999999999444444,0.0,0.6029100529100528,0.7468307530290854,285,0.5157342656906462,0.9545454544586778,0.07692307692261464,0.5503769667832167,0.0735144228792074,1774,72,285,87,0,0,182,1774,composite,0,0,0,10.0,1,0,1
3,2.3607176328605077,2.3607176328605077,1.074002538604298,0.0,1.5546362550351671,1.0,0.0,1.0,0.7962264150943397,0.0,0.9962264150943396,265,1060,348,0,0,712,7073,1.3966453372386465,1.3966453372386465,1.0515724996040607,0.0,1.536416400513762,0.09088573350825092,0.10871316137570358,0.1444823370070569,0.9860242831339888,0.4999999999722222,0.9999999999444444,0.0,0.5955555555555556,0.6909555836330381,285,0.5113035401654255,0.9727272726388431,0.049879807692007935,0.5626311188811188,0.07214596827284049,1774,72,285,87,0,0,182,1774,composite,0,0,0,10.0,1,0,1
4,2.292788253865152,2.292788253865152,1.040908989721331,0.0,1.5047117758383766,1.0,0.0,1.0,0.7962264150943397,0.0,0.9811320754716981,265,1060,348,0,0,712,7073,1.4196754332174335,1.4196754332174335,1.0242458938182086,0.0,1.5939642520875512,0.0980877930467779,0.11925986012514347,0.1375235442500295,0.9896065778444393,0.4999999999722222,0.9999999999444444,0.0,0.6978835978835979,0.7541796249991198,285,0.5077687936642656,0.9181818180983472,0.09735576923018417,0.5988636363636364,0.08310292204073133,1774,72,285,87,0,0,182,1774,composite,0,0,0,10.0,1,0,1
5,2.294655398377832,2.294655398377832,1.016076114499706,0.0,1.5246259971250153,1.0,0.0,1.0,0.8,0.0,0.9924528301886792,265,1060,348,0,0,712,7073,1.4098279290031968,1.4098279290031968,1.0069213872668388,0.0,1.5883915943451636,0.1178549047220837,0.14340386018113427,0.17196862907054278,0.988767467519298,0.4999999999722222,0.9999999999444444,0.0,0.7065079365079365,0.8055307811246993,285,0.5072443181390215,0.9363636362785125,0.0781249999995305,0.5552666083916085,0.06944333940256256,1774,72,285,87,0,0,182,1774,composite,0,0,0,10.0,1,0,1
6,2.2640436064522222,2.2640436064522222,0.99883973016136,0.0,1.479034743753296,1.0,0.0,1.0,0.8150943396226416,0.0,0.9811320754716981,265,1060,348,0,0,712,7073,1.383834189281129,1.383834189281129,0.982310770571917,0.0,1.5519374047218073,0.1518393409523097,0.18783614980084878,0.2509269764229565,0.9860608748078239,0.4999999999722222,0.9999999999444444,0.0,0.7542328042328043,0.8409816602771414,285,0.5051409527544187,0.9363636362785125,0.07391826923032502,0.5665319055944056,0.0752489091523699,1774,72,285,87,0,0,182,1774,composite,0,0,0,10.0,1,0,1
7,2.266510235363582,2.266510235363582,0.9916925315541782,0.0,1.5398218581434795,1.0,0.0,1.0,0.7924528301886793,0.0,0.9773584905660377,265,1060,348,0,0,712,7073,1.370780444981759,1.370780444981759,0.9790031738664912,0.0,1.539520171644185,0.16293597492304715,0.19452525981944338,0.3218152619669214,0.9798938401310688,0.4999999999722222,0.9999999999444444,0.0,0.7573544973544974,0.8358711929520211,285,0.5244482079982862,0.9545454544586778,0.09435096153789453,0.582757867132867,0.076695444748085,1774,72,285,87,0,0,182,1774,composite,0,0,0,10.0,1,0,1
8,2.2195096564742753,2.2195096564742753,0.9795550613225191,0.0,1.4948442944176847,1.0,0.0,1.0,0.7849056603773585,0.0,0.9886792452830189,265,1060,348,0,0,712,7073,1.3778140226999918,1.3778140226999918,0.9718539858686512,0.0,1.5547653646654582,0.15379559570415455,0.1900426863217576,0.258927647800824,0.9860332869295699,0.4999999999722222,0.9999999999444444,0.0,0.7562433862433863,0.8179648228593261,285,0.510850087369769,0.9363636362785125,0.08533653846102562,0.6173076923076923,0.08567299875147211,1774,72,285,87,0,0,182,1774,composite,0,0,0,10.0,1,0,1
9,2.1766442881440216,2.1766442881440216,0.9658044192982816,0.0,1.4896099800758815,1.0,0.0,1.0,0.7773584905660378,0.0,0.9849056603773585,265,1060,348,0,0,712,7073,1.4171197594257823,1.4171197594257823,0.9706135124995791,0.0,1.6226808184163546,0.17814171381972052,0.20384833065856134,0.41350871425257646,0.9720028985009098,0.4999999999722222,0.9999999999444444,0.0,0.79,0.8851916708285521,285,0.5336866258311703,0.9363636362785125,0.13100961538382808,0.6303977272727272,0.11225779317145662,1774,72,285,87,0,0,182,1774,composite,0,0,0,10.0,1,0,1
10,2.142470372622868,2.142470372622868,0.9574630135434797,0.0,1.4430734688871976,1.0,0.0,1.0,0.7811320754716982,0.0,0.9886792452830189,265,1060,348,0,0,712,7073,1.4962020459928012,1.4962020459928012,0.9528221474296745,0.0,1.7625557782617738,0.1726181053302505,0.20852894277713166,0.2698749563543465,0.9872968964875977,0.4999999999722222,0.9999999999444444,0.0,0.7870370370370371,0.8699177248974008,285,0.5408927010090394,0.8636363635578513,0.21814903846022748,0.5727600524475525,0.09071683843139738,1774,72,285,87,0,0,182,1774,composite,0,0,0,10.0,1,0,1
