epoch,train_loss_total,train_loss_lesion,train_loss_lesion_dense,train_loss_lesion_sparse,train_loss_lesion_sys,em_w_lesion_dense,em_w_lesion_sparse,em_w_lesion_sys,active_lesion_dense,active_lesion_sparse,active_lesion_sys,val_loss_total,val_loss_lesion,val_loss_lesion_dense,val_loss_lesion_sparse,val_loss_lesion_sys,val_lesion_dice,val_lesion_f1,val_lesion_sens,val_lesion_spec,val_patient_bacc,val_patient_sens,val_patient_spec,val_patient_auc,val_patient_auprc,val_patient_n,val_region_bacc,val_region_sens,val_region_spec,val_region_auc,val_region_auprc,val_region_n,best_model_metric_name,use_em_weighting,use_logvar_clamp,use_curriculum,em_lr_multiplier,lesion_dense_enabled_this_epoch,lesion_sparse_enabled_this_epoch,lesion_sys_enabled_this_epoch
1,1.1927175517633277,1.1927175517633277,1.1075244977556427,0.0,0.3377821929111513,1.0,0.0,1.0,0.769811320754717,0.0,0.9962264150943396,0.5744689568463299,0.5744689568463299,1.0649016848925887,0.0,0.34982766004205024,1.9384021274439112e-08,0.0,0.0,0.9999999999998049,0.499999999952381,0.0,0.999999999904762,0.7622222222222221,0.8698248666734465,285,0.49999999999758804,0.0,0.9999999999951761,0.600706047449897,0.07415384026485003,2183,composite,0,0,0,10.0,1,0,1
2,1.1871558433433749,1.1871558433433749,1.0504131825833485,0.0,0.32788231987159316,1.0,0.0,1.0,0.8301886792452831,0.0,0.9849056603773585,0.5734858080330822,0.5734858080330822,1.0548276051707652,0.0,0.35230274238392023,1.9384021274439112e-08,0.0,0.0,0.9999999999998049,0.499999999952381,0.0,0.999999999904762,0.7543386243386244,0.8710338322482515,285,0.49999999999758804,0.0,0.9999999999951761,0.6194009560145595,0.08527911000352584,2183,composite,0,0,0,10.0,1,0,1
3,1.1423154098807642,1.1423154098807642,1.0273715185708012,0.0,0.3244043096379955,1.0,0.0,1.0,0.7962264150943397,0.0,0.9962264150943396,0.5609410750783153,0.5609410750783153,1.0186129390508278,0.0,0.3502593051797471,0.07602068056063406,0.11221677112043399,0.09844973938969138,0.9958321167916937,0.6999999999412698,0.39999999997777774,0.999999999904762,0.7338095238095237,0.8662234459624147,285,0.49999999999758804,0.0,0.9999999999951761,0.5925448405911503,0.09417411482591995,2183,composite,0,0,0,10.0,1,0,1
4,1.118098667573254,1.118098667573254,1.0034417323339944,0.0,0.321943154945727,1.0,0.0,1.0,0.7962264150943397,0.0,0.9811320754716981,0.5581214413460758,0.5581214413460758,0.9839089608740532,0.0,0.36041413055774657,0.18359337952630272,0.22270468744477329,0.28152012136500065,0.9884905481513148,0.734126984066547,0.47777777775123453,0.9904761903818595,0.7400000000000002,0.8666707483318358,285,0.4997588036637735,0.0,0.999517607327547,0.5787659518484409,0.09567927353357528,2183,composite,0,0,0,10.0,1,0,1
5,1.120659790989363,1.120659790989363,0.9848157294180201,0.0,0.32389081740846315,1.0,0.0,1.0,0.8,0.0,0.9924528301886792,0.5608959358909892,0.5608959358909892,0.9691540153547266,0.0,0.37025749300441446,0.193081588923246,0.23132692333191665,0.286516713519155,0.988815298460069,0.734126984066547,0.47777777775123453,0.9904761903818595,0.7398412698412699,0.8675533029726423,285,0.5088497127538562,0.01818181818016529,0.999517607327547,0.5780379774591062,0.0982751421907128,2183,composite,0,0,0,10.0,1,0,1
6,1.1043358164575865,1.1043358164575865,0.9597494273350157,0.0,0.3252492278573496,1.0,0.0,1.0,0.8150943396226416,0.0,0.9811320754716981,0.5399445930702819,0.5399445930702819,0.9494114326334547,0.0,0.3502339942434541,0.21434326521281538,0.24774345269270753,0.3847818465736502,0.9830192301929427,0.7329365078765149,0.49444444441697527,0.9714285713360544,0.7078835978835978,0.8537532259154712,285,0.522003683721351,0.045454545450413227,0.9985528219922888,0.585800114020085,0.09986302662491535,2183,composite,0,0,0,10.0,1,0,1
7,1.0814191639282793,1.0814191639282793,0.9443941268770174,0.0,0.3272699864027385,1.0,0.0,1.0,0.7924528301886793,0.0,0.9773584905660377,0.5364031072499024,0.5364031072499024,0.9373889791554418,0.0,0.35110981875038233,0.21669636992202407,0.24729663364959792,0.48276653711500683,0.9745165038785903,0.7404761904155897,0.4999999999722222,0.980952380858957,0.7321693121693122,0.8661640401809763,285,0.5222448800551656,0.045454545450413227,0.9990352146599178,0.571363417094242,0.09590809604420682,2183,composite,0,0,0,10.0,1,0,1
8,1.0552403449449899,1.0552403449449899,0.9289288640707388,0.0,0.32282939573416375,1.0,0.0,1.0,0.7849056603773585,0.0,0.9886792452830189,0.5341897829332285,0.5341897829332285,0.9288410407373275,0.0,0.35164275342206913,0.21168984763923732,0.25217870912907225,0.2679359646648172,0.9924057140641854,0.7416666666056217,0.4833333333064815,0.999999999904762,0.7368783068783069,0.8640500322135523,285,0.49999999999758804,0.0,0.9999999999951761,0.6033021970793316,0.07296221801467184,2183,composite,0,0,0,10.0,1,0,1
9,1.0175742115755126,1.0175742115755126,0.912277621441874,0.0,0.3132659983095373,1.0,0.0,1.0,0.7773584905660378,0.0,0.9849056603773585,0.5414059043137563,0.5414059043137563,0.896407517893561,0.0,0.37409549395234226,0.24442066063826112,0.28008030663711664,0.3915192367228463,0.9865120381776344,0.7499999999384921,0.4999999999722222,0.999999999904762,0.736878306878307,0.8665494038876058,285,0.5088497127538562,0.01818181818016529,0.999517607327547,0.5665570319694777,0.1032930520060405,2183,composite,0,0,0,10.0,1,0,1
10,1.0108053656400375,1.0108053656400375,0.8982733510348989,0.0,0.32026483928596045,1.0,0.0,1.0,0.7811320754716982,0.0,0.9886792452830189,0.5251257271609373,0.5251257271609373,0.8972731225792019,0.0,0.3515796510795361,0.2343368903658856,0.2642896631464845,0.5044785613629328,0.976749523001945,0.739682539621794,0.4888888888617284,0.9904761903818595,0.7269312169312169,0.8607352840737139,285,0.4997588036637735,0.0,0.999517607327547,0.6452879007148182,0.08719781129875792,2183,composite,0,0,0,10.0,1,0,1
