epoch,train_loss_total,train_loss_lesion,train_loss_lesion_dense,train_loss_lesion_sparse,train_loss_lesion_sys,em_w_lesion_dense,em_w_lesion_sparse,em_w_lesion_sys,active_lesion_dense,active_lesion_sparse,active_lesion_sys,train_loss_num_batches,train_loss_num_cases,train_loss_dense_cases,train_loss_sparse_cases,train_loss_sparse_voxels,train_loss_sys_cases,train_loss_sys_regions,val_loss_total,val_loss_lesion,val_loss_lesion_dense,val_loss_lesion_sparse,val_loss_lesion_sys,val_lesion_dice,val_lesion_f1,val_lesion_sens,val_lesion_spec,val_patient_bacc,val_patient_sens,val_patient_spec,val_patient_auc,val_patient_auprc,val_patient_n,val_region_bacc,val_region_sens,val_region_spec,val_region_auc,val_region_auprc,val_region_n,val_loss_num_batches,val_loss_num_cases,val_loss_dense_cases,val_loss_sparse_cases,val_loss_sparse_voxels,val_loss_sys_cases,val_loss_sys_regions,best_model_metric_name,use_em_weighting,use_logvar_clamp,use_curriculum,em_lr_multiplier,lesion_dense_enabled_this_epoch,lesion_sparse_enabled_this_epoch,lesion_sys_enabled_this_epoch
1,0.835927213,0.835927213,1.06981639,0,0,1,0,0,0.78245614,0,0,285,1139,348,0,0,0,0,0.309457739,0.309457739,1.003039033,0,0,0.165756685,0.2063767,0.248932079,0.988997257,0.686507936,0.744444444,0.628571429,0.756666667,0.844079989,285,0.507664991,0.036363636,0.978966346,0.511560315,0.078718995,1774,72,285,87,0,0,0,0,composite,0,0,1,1,1,0,0
2,0.733286077,0.733286077,0.973616234,0,0,1,0,0,0.754385965,0,0,285,1139,348,0,0,0,0,0.292644523,0.292644523,0.948855153,0,0,0.212061406,0.242424799,0.380105897,0.982305526,0.530555556,0.994444444,0.066666667,0.626084656,0.727036409,285,0.519558566,0.363636364,0.675480769,0.516887019,0.082751694,1774,72,285,87,0,0,0,0,composite,0,0,1,1,1,0,0
3,0.732822451,0.732822451,0.939185967,0,0,1,0,0,0.778947368,0,0,285,1139,348,0,0,0,0,0.283295557,0.283295557,0.919084959,0,0,0.227875287,0.261138803,0.379713101,0.985062627,0.58015873,0.922222222,0.238095238,0.714285714,0.778730116,285,0.546743881,0.254545455,0.838942308,0.508664773,0.079315048,1774,72,285,87,0,0,0,0,composite,0,0,1,1,1,0,0
4,0.700903673,0.700903673,0.905713493,0,0,1,0,0,0.78245614,0,0,285,1139,348,0,0,0,0,0.27438607,0.27438607,0.890204219,0,0,0.243265188,0.271945054,0.350875645,0.988024285,0.531746032,0.977777778,0.085714286,0.67015873,0.747688091,285,0.549792395,0.336363636,0.763221154,0.523825393,0.081243834,1774,72,285,87,0,0,0,0,composite,0,0,1,1,1,0,0
5,0.654954587,0.654954587,0.883539262,0,0,1,0,0,0.743859649,0,0,285,1139,348,0,0,0,0,0.266014289,0.266014289,0.861532154,0,0,0.267487817,0.297468435,0.307690409,0.993397914,0.506349206,0.955555556,0.057142857,0.702275132,0.814659091,285,0.511625874,0.263636364,0.759615385,0.51246722,0.076909955,1774,72,285,87,0,0,0,0,composite,0,0,1,1,1,0,0
6,0.662544249,0.662544249,0.867349473,0,0,1,0,0,0.761403509,0,0,285,1139,348,0,0,0,0,0.263512415,0.263512415,0.854846183,0,0,0.267906198,0.29531259,0.453582193,0.983895587,0.495634921,0.972222222,0.019047619,0.597989418,0.691413197,285,0.541384397,0.409090909,0.673677885,0.531473995,0.077791358,1774,72,285,87,0,0,0,0,composite,0,0,1,1,1,0,0
7,0.656656066,0.656656066,0.840762587,0,0,1,0,0,0.778947368,0,0,285,1139,348,0,0,0,0,0.256393249,0.256393249,0.830081249,0,0,0.285804992,0.325257907,0.414224148,0.989425998,0.509920635,0.972222222,0.047619048,0.666772487,0.750927561,285,0.520159528,0.363636364,0.676682692,0.512603802,0.071263529,1774,72,285,87,0,0,0,0,composite,0,0,1,1,1,0,0
8,0.63946856,0.63946856,0.832129889,0,0,1,0,0,0.764912281,0,0,285,1139,348,0,0,0,0,0.256496311,0.256496311,0.832222219,0,0,0.282496338,0.324080187,0.420401431,0.988626113,0.491666667,0.983333333,0,0.718624339,0.786347639,285,0.538117351,0.418181818,0.658052885,0.559069056,0.077328584,1774,72,285,87,0,0,0,0,composite,0,0,1,1,1,0,0
9,0.674779924,0.674779924,0.827061484,0,0,1,0,0,0.81754386,0,0,285,1139,348,0,0,0,0,0.255493236,0.255493236,0.828548449,0,0,0.287672573,0.32345558,0.38694766,0.990515677,0.494047619,0.95,0.038095238,0.711957672,0.813397706,285,0.5495684,0.354545455,0.744591346,0.554884178,0.081031553,1774,72,285,87,0,0,0,0,composite,0,0,1,1,1,0,0
10,0.763580595,1.823394872,0.837300724,1.173768706,0,1,0.1,0,0.771929825,0.985964912,0,285,1139,348,783,772522,0,0,0.332343793,0.991987534,0.839930397,1.027937848,0,0.272082546,0.310015559,0.378736817,0.989826687,0.584523809,0.95,0.219047619,0.788888889,0.88246101,285,0.523448427,0.145454545,0.901442308,0.606490385,0.119229912,1774,72,285,87,193,177463,0,0,composite,0,0,1,1,1,1,0
