epoch,train_loss_total,train_loss_lesion,train_loss_lesion_dense,train_loss_lesion_sparse,train_loss_lesion_sys,em_w_lesion_dense,em_w_lesion_sparse,em_w_lesion_sys,active_lesion_dense,active_lesion_sparse,active_lesion_sys,train_loss_num_batches,train_loss_num_cases,train_loss_dense_cases,train_loss_sparse_cases,train_loss_sparse_voxels,train_loss_sys_cases,train_loss_sys_regions,val_loss_total,val_loss_lesion,val_loss_lesion_dense,val_loss_lesion_sparse,val_loss_lesion_sys,val_lesion_dice,val_lesion_f1,val_lesion_sens,val_lesion_spec,val_patient_bacc,val_patient_sens,val_patient_spec,val_patient_auc,val_patient_auprc,val_patient_n,val_region_bacc,val_region_sens,val_region_spec,val_region_auc,val_region_auprc,val_region_n,val_loss_num_batches,val_loss_num_cases,val_loss_dense_cases,val_loss_sparse_cases,val_loss_sparse_voxels,val_loss_sys_cases,val_loss_sys_regions,best_model_metric_name,use_em_weighting,use_logvar_clamp,use_curriculum,em_lr_multiplier,lesion_dense_enabled_this_epoch,lesion_sparse_enabled_this_epoch,lesion_sys_enabled_this_epoch
1,2.42085518200634,2.426311816742171,1.1747982152577103,0.8833255631709966,0.6522575384038822,0.9914494100369905,1.0038868197223596,1.0119794347829987,0.7824561403508772,0.9859649122807017,0.9824561403508771,285,1139,348,781,772522,712,7073,1.4523586777218602,1.4585497977440818,1.1070915378373245,0.9184952741539143,0.6814022821698678,1.9231433153037034e-08,0.0,0.0,0.999996678687954,0.49206349201706984,0.022222222220987655,0.961904761813152,0.44841269841269843,0.6217253049897626,285,0.49999999999699524,0.0,0.9999999999939905,0.49273929195804195,0.06602501979148878,1774,72,285,87,193,177463,182,1774,composite,1,1,0,1.0,1,1,1
2,2.2750824873022495,2.290305080593836,1.0871530918554329,0.8731258119557257,0.6274475931076321,0.9786986131417124,1.0110636510347064,1.035263522884302,0.7543859649122807,0.9824561403508771,0.9754385964912281,285,1139,348,783,772522,712,7073,1.43827390754432,1.449606023964129,1.0565484734787338,0.9288586557912699,0.6847653185031056,0.009641130077319452,0.011519839864127612,0.006093197229037941,0.9999651334630756,0.5095238094792517,0.19999999998888887,0.8190476189696145,0.4921164021164021,0.6387444333777161,285,0.49999999999699524,0.0,0.9999999999939905,0.5492023601398602,0.07252087982745242,1774,72,285,87,193,177463,182,1774,composite,1,1,0,1.0,1,1,1
3,2.28416007689157,2.3080925928907923,1.0488725085368102,0.8663135817387065,0.6205874418695763,0.9720273768692685,1.017493760794924,1.0595854993452105,0.7789473684210526,0.9929824561403509,0.9894736842105263,285,1139,348,782,772522,712,7073,1.4362861380242464,1.451924883691888,1.02901274308391,0.9382906955269951,0.6921395788970902,0.0005467319545142881,0.0014247922592795182,0.0007227298301852824,0.9999979856596081,0.5166666666181218,0.03333333333148148,0.999999999904762,0.5996825396825397,0.7357536183022495,285,0.49999999999699524,0.0,0.9999999999939905,0.5314739947552447,0.07145764486002214,1774,72,285,87,193,177463,182,1774,composite,1,1,0,1.0,1,1,1
4,2.234626542276411,2.265952747782874,1.0254586864819473,0.8667816078354851,0.6341192794666927,0.9708248297373454,1.0265649665865981,1.0837066930637025,0.7824561403508772,0.9929824561403509,0.9789473684210527,285,1139,348,783,772522,712,7073,1.3842754288723593,1.4058910208835937,1.0042968310158829,0.8997530320495679,0.6714545088025333,0.057594223872168525,0.071564233994879,0.04282951008083625,0.9993318505020823,0.5420634920222285,0.5222222221932099,0.5619047618512472,0.5610052910052908,0.7029308779006957,285,0.49999999999699524,0.0,0.9999999999939905,0.5401715472027971,0.07604243900013179,1774,72,285,87,193,177463,182,1774,composite,1,1,0,1.0,1,1,1
5,2.212093052056089,2.2489567349310815,1.006622657522388,0.8681271777158901,0.6465849939648947,0.9737624026181405,1.0334406564110203,1.1060709652147795,0.743859649122807,0.9824561403508771,0.9859649122807017,285,1139,348,779,772522,712,7073,1.3796487816593104,1.4054123184137177,0.9876892820171926,0.9086272925192045,0.6683497662071176,0.06330103091339016,0.07816506038121754,0.046222728993807284,0.9992022346278918,0.6682539682000253,0.4888888888617284,0.8476190475383221,0.7186772486772486,0.8185565225178029,285,0.49999999999699524,0.0,0.9999999999939905,0.5849704982517483,0.08713559463897776,1774,72,285,87,193,177463,182,1774,composite,1,1,0,1.0,1,1,1
6,2.166155688902911,2.2110464399168634,0.9986589825016329,0.8628568541598146,0.637616945058002,0.9794049154248154,1.0380365434445833,1.1288820998710498,0.7614035087719299,0.9754385964912281,0.9754385964912281,285,1139,348,780,772522,712,7073,1.3626280943552653,1.3932984636541,0.9841679122256136,0.8995983740785428,0.6611553267434055,0.16029079614037817,0.2016161607903838,0.19397466949438052,0.993632248650096,0.6317460317026203,0.8444444443975309,0.41904761900770976,0.6738624338624339,0.786851205309055,285,0.5024420891574338,0.009090909090082646,0.995793269224785,0.5879261363636363,0.08609073832511618,1774,72,285,87,193,177463,182,1774,composite,1,1,0,1.0,1,1,1
7,2.1770929153599794,2.2287820687515887,0.9811691045761108,0.8577975034702172,0.6269643748352624,0.9865286948388083,1.0459496648688065,1.1523022538737246,0.7789473684210526,0.9824561403508771,0.9789473684210527,285,1139,348,779,772522,712,7073,1.3613689343134563,1.395109602442959,0.9658485541398498,0.9042856265442278,0.6675096599231847,0.18727847595106473,0.21161917675178393,0.42530937137126124,0.9729299088056419,0.5980158729762252,0.8722222221737654,0.3238095237786848,0.7653439153439154,0.8703221782222609,285,0.5191215034914543,0.045454545450413227,0.9927884615324953,0.5720061188811189,0.10004907858505113,1774,72,285,87,193,177463,182,1774,composite,1,1,0,1.0,1,1,1
8,2.1603361863227555,2.217110815960865,0.9747186304851511,0.858157105996127,0.6311219187634308,0.9950672193577416,1.051304662855048,1.1750803575181124,0.7649122807017544,0.9824561403508771,0.9789473684210527,285,1139,348,781,772522,712,7073,1.3313034107810573,1.3701680074658311,0.941722591718038,0.8889512153381925,0.6548053085837584,0.19228384203531526,0.2268642436368711,0.3546448551577646,0.9826111604154888,0.6757936507443909,0.7611111110688271,0.5904761904199547,0.77984126984127,0.8840986448030042,285,0.5118334790167454,0.027272727270247935,0.9963942307632428,0.6465854458041956,0.13009808102120707,1774,72,285,87,193,177463,182,1774,composite,1,1,0,1.0,1,1,1
9,2.1786528816340365,2.2443568305659443,0.9548492453906728,0.8561919197608695,0.6142943166938981,1.0059810404191938,1.0568770115835624,1.1967467366603384,0.8175438596491228,0.9929824561403509,0.9894736842105263,285,1139,348,783,772522,712,7073,1.3286316072731688,1.3708269711126362,0.9413447880196846,0.8876239842362745,0.6585142057233625,0.20624808492985638,0.22675694849366063,0.5060532334636355,0.9690466815252116,0.5944444444061288,0.9222222221709876,0.26666666664126987,0.7859259259259259,0.8827453559810998,285,0.5367788461463754,0.0999999999909091,0.9735576923018416,0.588518902972028,0.10407457427326074,1774,72,285,87,193,177463,182,1774,composite,1,1,0,1.0,1,1,1
10,2.090972915461861,2.16259652611663,0.9333981518772827,0.8545549657488816,0.6167118704699903,1.0188954566654407,1.0638376194134094,1.2198257822739451,0.7719298245614035,0.9859649122807017,0.9719298245614035,285,1139,348,783,772522,712,7073,1.3148512269321242,1.360456176808006,0.9110679715529255,0.8858819250503263,0.6561386943905033,0.2293555231934244,0.25285571037458665,0.46573685886938576,0.9770948944855001,0.639285714241695,0.8499999999527778,0.42857142853061225,0.7956613756613757,0.8941881795700933,285,0.5239674388057246,0.05454545454049587,0.9933894230709532,0.6394121503496504,0.1419303260854944,1774,72,285,87,193,177463,182,1774,composite,1,1,0,1.0,1,1,1
